Add:         001607A Bypass Cereb Vent to Subgaleal with Autol Sub, Open Approach Bypass Cerebral Ventricle to Subgaleal Space with Autologous Tissue Substitute, Open Approach
Add:         00160JA Bypass Cereb Vent to Subgaleal with Synth Sub, Open Approach Bypass Cerebral Ventricle to Subgaleal Space with Synthetic Substitute, Open Approach
Delete:      037Q356 Dilate L Verteb Art, Bifurc, w 2 Drug-elut, Perc             Dilation of Left Vertebral Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      037Q366 Dilate L Verteb Art, Bifurc, w 3 Drug-elut, Perc             Dilation of Left Vertebral Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      037Q376 Dilate L Verteb Art, Bifurc, w 4 Drug-elut, Perc             Dilation of Left Vertebral Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      037Q3D6 Dilate L Verteb Art, Bifurc, w Intralum Dev, Perc            Dilation of Left Vertebral Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Delete:      037Q3E6 Dilate L Verteb Art, Bifurc, w 2 Intralum Dev, Perc          Dilation of Left Vertebral Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Delete:      037Q3F6 Dilate L Verteb Art, Bifurc, w 3 Intralum Dev, Perc          Dilation of Left Vertebral Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Delete:      037Q3G6 Dilate L Verteb Art, Bifurc, w 4+ Intralum Dev, Perc         Dilation of Left Vertebral Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Delete:      037Q3Z6 Dilation of Left Vertebral Artery, Bifurc, Perc Approach     Dilation of Left Vertebral Artery, Bifurcation, Percutaneous Approach
Delete:      037Q446 Dilate L Verteb Art, Bifurc, w Drug-elut Intra, Perc Endo    Dilation of Left Vertebral Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      037Q456 Dilate L Verteb Art, Bifurc, w 2 Drug-elut, Perc Endo        Dilation of Left Vertebral Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037Q466 Dilate L Verteb Art, Bifurc, w 3 Drug-elut, Perc Endo        Dilation of Left Vertebral Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037Q476 Dilate L Verteb Art, Bifurc, w 4 Drug-elut, Perc Endo        Dilation of Left Vertebral Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037Q4D6 Dilate L Verteb Art, Bifurc, w Intralum Dev, Perc Endo       Dilation of Left Vertebral Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      037Q4E6 Dilate L Verteb Art, Bifurc, w 2 Intralum Dev, Perc Endo     Dilation of Left Vertebral Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037Q4F6 Dilate L Verteb Art, Bifurc, w 3 Intralum Dev, Perc Endo     Dilation of Left Vertebral Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037Q4G6 Dilate L Verteb Art, Bifurc, w 4+ Intralum Dev, Perc Endo    Dilation of Left Vertebral Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037Q4Z6 Dilation of L Verteb Art, Bifurc, Perc Endo Approach         Dilation of Left Vertebral Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      037R046 Dilate Face Art, Bifurc, w Drug-elut Intra, Open             Dilation of Face Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Delete:      037R056 Dilate of Face Art, Bifurc, with 2 Drug-elut, Open Approach  Dilation of Face Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Delete:      037R066 Dilate of Face Art, Bifurc, with 3 Drug-elut, Open Approach  Dilation of Face Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Delete:      037R076 Dilate of Face Art, Bifurc, with 4 Drug-elut, Open Approach  Dilation of Face Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Delete:      037R0D6 Dilate of Face Art, Bifurc, with Intralum Dev, Open Approach Dilation of Face Artery, Bifurcation, with Intraluminal Device, Open Approach
Delete:      037R0E6 Dilate Face Art, Bifurc, w 2 Intralum Dev, Open              Dilation of Face Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Delete:      037R0F6 Dilate Face Art, Bifurc, w 3 Intralum Dev, Open              Dilation of Face Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Delete:      037R0G6 Dilate Face Art, Bifurc, w 4+ Intralum Dev, Open             Dilation of Face Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Delete:      037R0Z6 Dilation of Face Artery, Bifurcation, Open Approach          Dilation of Face Artery, Bifurcation, Open Approach
Delete:      037R346 Dilate Face Art, Bifurc, w Drug-elut Intra, Perc             Dilation of Face Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Delete:      037R356 Dilate of Face Art, Bifurc, with 2 Drug-elut, Perc Approach  Dilation of Face Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      037R366 Dilate of Face Art, Bifurc, with 3 Drug-elut, Perc Approach  Dilation of Face Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      037R376 Dilate of Face Art, Bifurc, with 4 Drug-elut, Perc Approach  Dilation of Face Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      037R3D6 Dilate of Face Art, Bifurc, with Intralum Dev, Perc Approach Dilation of Face Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Delete:      037R3E6 Dilate Face Art, Bifurc, w 2 Intralum Dev, Perc              Dilation of Face Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Delete:      037R3F6 Dilate Face Art, Bifurc, w 3 Intralum Dev, Perc              Dilation of Face Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Delete:      037R3G6 Dilate Face Art, Bifurc, w 4+ Intralum Dev, Perc             Dilation of Face Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Delete:      037R3Z6 Dilation of Face Artery, Bifurcation, Percutaneous Approach  Dilation of Face Artery, Bifurcation, Percutaneous Approach
Delete:      037R446 Dilate Face Art, Bifurc, w Drug-elut Intra, Perc Endo        Dilation of Face Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      037R456 Dilate Face Art, Bifurc, w 2 Drug-elut, Perc Endo            Dilation of Face Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037R466 Dilate Face Art, Bifurc, w 3 Drug-elut, Perc Endo            Dilation of Face Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037R476 Dilate Face Art, Bifurc, w 4 Drug-elut, Perc Endo            Dilation of Face Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037R4D6 Dilate Face Art, Bifurc, w Intralum Dev, Perc Endo           Dilation of Face Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      037R4E6 Dilate Face Art, Bifurc, w 2 Intralum Dev, Perc Endo         Dilation of Face Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037R4F6 Dilate Face Art, Bifurc, w 3 Intralum Dev, Perc Endo         Dilation of Face Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037R4G6 Dilate Face Art, Bifurc, w 4+ Intralum Dev, Perc Endo        Dilation of Face Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037R4Z6 Dilation of Face Artery, Bifurcation, Perc Endo Approach     Dilation of Face Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      037S046 Dilate R Temporal Art, Bifurc, w Drug-elut Intra, Open       Dilation of Right Temporal Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Delete:      037S056 Dilate R Temporal Art, Bifurc, w 2 Drug-elut, Open           Dilation of Right Temporal Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Delete:      037S066 Dilate R Temporal Art, Bifurc, w 3 Drug-elut, Open           Dilation of Right Temporal Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Delete:      037S076 Dilate R Temporal Art, Bifurc, w 4 Drug-elut, Open           Dilation of Right Temporal Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Delete:      037S0D6 Dilate R Temporal Art, Bifurc, w Intralum Dev, Open          Dilation of Right Temporal Artery, Bifurcation, with Intraluminal Device, Open Approach
Delete:      037S0E6 Dilate R Temporal Art, Bifurc, w 2 Intralum Dev, Open        Dilation of Right Temporal Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Delete:      037S0F6 Dilate R Temporal Art, Bifurc, w 3 Intralum Dev, Open        Dilation of Right Temporal Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Delete:      037S0G6 Dilate R Temporal Art, Bifurc, w 4+ Intralum Dev, Open       Dilation of Right Temporal Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Delete:      037S0Z6 Dilation of Right Temporal Artery, Bifurc, Open Approach     Dilation of Right Temporal Artery, Bifurcation, Open Approach
Delete:      037S346 Dilate R Temporal Art, Bifurc, w Drug-elut Intra, Perc       Dilation of Right Temporal Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Delete:      037S356 Dilate R Temporal Art, Bifurc, w 2 Drug-elut, Perc           Dilation of Right Temporal Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      037S366 Dilate R Temporal Art, Bifurc, w 3 Drug-elut, Perc           Dilation of Right Temporal Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      037S376 Dilate R Temporal Art, Bifurc, w 4 Drug-elut, Perc           Dilation of Right Temporal Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      037S3D6 Dilate R Temporal Art, Bifurc, w Intralum Dev, Perc          Dilation of Right Temporal Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Delete:      037S3E6 Dilate R Temporal Art, Bifurc, w 2 Intralum Dev, Perc        Dilation of Right Temporal Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Delete:      037S3F6 Dilate R Temporal Art, Bifurc, w 3 Intralum Dev, Perc        Dilation of Right Temporal Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Delete:      037S3G6 Dilate R Temporal Art, Bifurc, w 4+ Intralum Dev, Perc       Dilation of Right Temporal Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Delete:      037S3Z6 Dilation of Right Temporal Artery, Bifurc, Perc Approach     Dilation of Right Temporal Artery, Bifurcation, Percutaneous Approach
Delete:      037S446 Dilate R Temporal Art, Bifurc, w Drug-elut Intra, Perc Endo  Dilation of Right Temporal Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      037S456 Dilate R Temporal Art, Bifurc, w 2 Drug-elut, Perc Endo      Dilation of Right Temporal Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037S466 Dilate R Temporal Art, Bifurc, w 3 Drug-elut, Perc Endo      Dilation of Right Temporal Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037S476 Dilate R Temporal Art, Bifurc, w 4 Drug-elut, Perc Endo      Dilation of Right Temporal Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037S4D6 Dilate R Temporal Art, Bifurc, w Intralum Dev, Perc Endo     Dilation of Right Temporal Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      037S4E6 Dilate R Temporal Art, Bifurc, w 2 Intralum Dev, Perc Endo   Dilation of Right Temporal Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037S4F6 Dilate R Temporal Art, Bifurc, w 3 Intralum Dev, Perc Endo   Dilation of Right Temporal Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037S4G6 Dilate R Temporal Art, Bifurc, w 4+ Intralum Dev, Perc Endo  Dilation of Right Temporal Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037S4Z6 Dilation of R Temporal Art, Bifurc, Perc Endo Approach       Dilation of Right Temporal Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      037T046 Dilate L Temporal Art, Bifurc, w Drug-elut Intra, Open       Dilation of Left Temporal Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Delete:      037T056 Dilate L Temporal Art, Bifurc, w 2 Drug-elut, Open           Dilation of Left Temporal Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Delete:      037T066 Dilate L Temporal Art, Bifurc, w 3 Drug-elut, Open           Dilation of Left Temporal Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Delete:      037T076 Dilate L Temporal Art, Bifurc, w 4 Drug-elut, Open           Dilation of Left Temporal Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Delete:      037T0D6 Dilate L Temporal Art, Bifurc, w Intralum Dev, Open          Dilation of Left Temporal Artery, Bifurcation, with Intraluminal Device, Open Approach
Delete:      037T0E6 Dilate L Temporal Art, Bifurc, w 2 Intralum Dev, Open        Dilation of Left Temporal Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Delete:      037T0F6 Dilate L Temporal Art, Bifurc, w 3 Intralum Dev, Open        Dilation of Left Temporal Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Delete:      037T0G6 Dilate L Temporal Art, Bifurc, w 4+ Intralum Dev, Open       Dilation of Left Temporal Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Delete:      037T0Z6 Dilation of Left Temporal Artery, Bifurcation, Open Approach Dilation of Left Temporal Artery, Bifurcation, Open Approach
Delete:      037T346 Dilate L Temporal Art, Bifurc, w Drug-elut Intra, Perc       Dilation of Left Temporal Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Delete:      037T356 Dilate L Temporal Art, Bifurc, w 2 Drug-elut, Perc           Dilation of Left Temporal Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      037T366 Dilate L Temporal Art, Bifurc, w 3 Drug-elut, Perc           Dilation of Left Temporal Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      037T376 Dilate L Temporal Art, Bifurc, w 4 Drug-elut, Perc           Dilation of Left Temporal Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      037T3D6 Dilate L Temporal Art, Bifurc, w Intralum Dev, Perc          Dilation of Left Temporal Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Delete:      037T3E6 Dilate L Temporal Art, Bifurc, w 2 Intralum Dev, Perc        Dilation of Left Temporal Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Delete:      037T3F6 Dilate L Temporal Art, Bifurc, w 3 Intralum Dev, Perc        Dilation of Left Temporal Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Delete:      037T3G6 Dilate L Temporal Art, Bifurc, w 4+ Intralum Dev, Perc       Dilation of Left Temporal Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Delete:      037T3Z6 Dilation of Left Temporal Artery, Bifurcation, Perc Approach Dilation of Left Temporal Artery, Bifurcation, Percutaneous Approach
Delete:      037T446 Dilate L Temporal Art, Bifurc, w Drug-elut Intra, Perc Endo  Dilation of Left Temporal Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      037T456 Dilate L Temporal Art, Bifurc, w 2 Drug-elut, Perc Endo      Dilation of Left Temporal Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037T466 Dilate L Temporal Art, Bifurc, w 3 Drug-elut, Perc Endo      Dilation of Left Temporal Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037T476 Dilate L Temporal Art, Bifurc, w 4 Drug-elut, Perc Endo      Dilation of Left Temporal Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037T4D6 Dilate L Temporal Art, Bifurc, w Intralum Dev, Perc Endo     Dilation of Left Temporal Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      037T4E6 Dilate L Temporal Art, Bifurc, w 2 Intralum Dev, Perc Endo   Dilation of Left Temporal Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037T4F6 Dilate L Temporal Art, Bifurc, w 3 Intralum Dev, Perc Endo   Dilation of Left Temporal Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037T4G6 Dilate L Temporal Art, Bifurc, w 4+ Intralum Dev, Perc Endo  Dilation of Left Temporal Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037T4Z6 Dilation of Left Temporal Artery, Bifurc, Perc Endo Approach Dilation of Left Temporal Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      037U046 Dilate R Thyroid Art, Bifurc, w Drug-elut Intra, Open        Dilation of Right Thyroid Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Delete:      037U056 Dilate R Thyroid Art, Bifurc, w 2 Drug-elut, Open            Dilation of Right Thyroid Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Delete:      037U066 Dilate R Thyroid Art, Bifurc, w 3 Drug-elut, Open            Dilation of Right Thyroid Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Delete:      037U076 Dilate R Thyroid Art, Bifurc, w 4 Drug-elut, Open            Dilation of Right Thyroid Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Delete:      037U0D6 Dilate R Thyroid Art, Bifurc, w Intralum Dev, Open           Dilation of Right Thyroid Artery, Bifurcation, with Intraluminal Device, Open Approach
Delete:      037U0E6 Dilate R Thyroid Art, Bifurc, w 2 Intralum Dev, Open         Dilation of Right Thyroid Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Delete:      037U0F6 Dilate R Thyroid Art, Bifurc, w 3 Intralum Dev, Open         Dilation of Right Thyroid Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Delete:      037U0G6 Dilate R Thyroid Art, Bifurc, w 4+ Intralum Dev, Open        Dilation of Right Thyroid Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Delete:      037U0Z6 Dilation of Right Thyroid Artery, Bifurcation, Open Approach Dilation of Right Thyroid Artery, Bifurcation, Open Approach
Delete:      037U346 Dilate R Thyroid Art, Bifurc, w Drug-elut Intra, Perc        Dilation of Right Thyroid Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Delete:      037U356 Dilate R Thyroid Art, Bifurc, w 2 Drug-elut, Perc            Dilation of Right Thyroid Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      037U366 Dilate R Thyroid Art, Bifurc, w 3 Drug-elut, Perc            Dilation of Right Thyroid Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      037U376 Dilate R Thyroid Art, Bifurc, w 4 Drug-elut, Perc            Dilation of Right Thyroid Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      037U3D6 Dilate R Thyroid Art, Bifurc, w Intralum Dev, Perc           Dilation of Right Thyroid Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Delete:      037U3E6 Dilate R Thyroid Art, Bifurc, w 2 Intralum Dev, Perc         Dilation of Right Thyroid Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Delete:      037U3F6 Dilate R Thyroid Art, Bifurc, w 3 Intralum Dev, Perc         Dilation of Right Thyroid Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Delete:      037U3G6 Dilate R Thyroid Art, Bifurc, w 4+ Intralum Dev, Perc        Dilation of Right Thyroid Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Delete:      037U3Z6 Dilation of Right Thyroid Artery, Bifurcation, Perc Approach Dilation of Right Thyroid Artery, Bifurcation, Percutaneous Approach
Delete:      037U446 Dilate R Thyroid Art, Bifurc, w Drug-elut Intra, Perc Endo   Dilation of Right Thyroid Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      037U456 Dilate R Thyroid Art, Bifurc, w 2 Drug-elut, Perc Endo       Dilation of Right Thyroid Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037U466 Dilate R Thyroid Art, Bifurc, w 3 Drug-elut, Perc Endo       Dilation of Right Thyroid Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037U476 Dilate R Thyroid Art, Bifurc, w 4 Drug-elut, Perc Endo       Dilation of Right Thyroid Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037U4D6 Dilate R Thyroid Art, Bifurc, w Intralum Dev, Perc Endo      Dilation of Right Thyroid Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      037U4E6 Dilate R Thyroid Art, Bifurc, w 2 Intralum Dev, Perc Endo    Dilation of Right Thyroid Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037U4F6 Dilate R Thyroid Art, Bifurc, w 3 Intralum Dev, Perc Endo    Dilation of Right Thyroid Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037U4G6 Dilate R Thyroid Art, Bifurc, w 4+ Intralum Dev, Perc Endo   Dilation of Right Thyroid Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037U4Z6 Dilation of Right Thyroid Artery, Bifurc, Perc Endo Approach Dilation of Right Thyroid Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      037V046 Dilate L Thyroid Art, Bifurc, w Drug-elut Intra, Open        Dilation of Left Thyroid Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Delete:      037V056 Dilate L Thyroid Art, Bifurc, w 2 Drug-elut, Open            Dilation of Left Thyroid Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Delete:      037V066 Dilate L Thyroid Art, Bifurc, w 3 Drug-elut, Open            Dilation of Left Thyroid Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Delete:      037V076 Dilate L Thyroid Art, Bifurc, w 4 Drug-elut, Open            Dilation of Left Thyroid Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Delete:      037V0D6 Dilate L Thyroid Art, Bifurc, w Intralum Dev, Open           Dilation of Left Thyroid Artery, Bifurcation, with Intraluminal Device, Open Approach
Delete:      037V0E6 Dilate L Thyroid Art, Bifurc, w 2 Intralum Dev, Open         Dilation of Left Thyroid Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Delete:      037V0F6 Dilate L Thyroid Art, Bifurc, w 3 Intralum Dev, Open         Dilation of Left Thyroid Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Delete:      037V0G6 Dilate L Thyroid Art, Bifurc, w 4+ Intralum Dev, Open        Dilation of Left Thyroid Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Delete:      037V0Z6 Dilation of Left Thyroid Artery, Bifurcation, Open Approach  Dilation of Left Thyroid Artery, Bifurcation, Open Approach
Delete:      037V346 Dilate L Thyroid Art, Bifurc, w Drug-elut Intra, Perc        Dilation of Left Thyroid Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Delete:      037V356 Dilate L Thyroid Art, Bifurc, w 2 Drug-elut, Perc            Dilation of Left Thyroid Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      037V366 Dilate L Thyroid Art, Bifurc, w 3 Drug-elut, Perc            Dilation of Left Thyroid Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      037V376 Dilate L Thyroid Art, Bifurc, w 4 Drug-elut, Perc            Dilation of Left Thyroid Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      037V3D6 Dilate L Thyroid Art, Bifurc, w Intralum Dev, Perc           Dilation of Left Thyroid Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Delete:      037V3E6 Dilate L Thyroid Art, Bifurc, w 2 Intralum Dev, Perc         Dilation of Left Thyroid Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Delete:      037V3F6 Dilate L Thyroid Art, Bifurc, w 3 Intralum Dev, Perc         Dilation of Left Thyroid Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Delete:      037V3G6 Dilate L Thyroid Art, Bifurc, w 4+ Intralum Dev, Perc        Dilation of Left Thyroid Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Delete:      037V3Z6 Dilation of Left Thyroid Artery, Bifurcation, Perc Approach  Dilation of Left Thyroid Artery, Bifurcation, Percutaneous Approach
Delete:      037V446 Dilate L Thyroid Art, Bifurc, w Drug-elut Intra, Perc Endo   Dilation of Left Thyroid Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      037V456 Dilate L Thyroid Art, Bifurc, w 2 Drug-elut, Perc Endo       Dilation of Left Thyroid Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037V466 Dilate L Thyroid Art, Bifurc, w 3 Drug-elut, Perc Endo       Dilation of Left Thyroid Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037V476 Dilate L Thyroid Art, Bifurc, w 4 Drug-elut, Perc Endo       Dilation of Left Thyroid Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037V4D6 Dilate L Thyroid Art, Bifurc, w Intralum Dev, Perc Endo      Dilation of Left Thyroid Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      037V4E6 Dilate L Thyroid Art, Bifurc, w 2 Intralum Dev, Perc Endo    Dilation of Left Thyroid Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037V4F6 Dilate L Thyroid Art, Bifurc, w 3 Intralum Dev, Perc Endo    Dilation of Left Thyroid Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037V4G6 Dilate L Thyroid Art, Bifurc, w 4+ Intralum Dev, Perc Endo   Dilation of Left Thyroid Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037V4Z6 Dilation of Left Thyroid Artery, Bifurc, Perc Endo Approach  Dilation of Left Thyroid Artery, Bifurcation, Percutaneous Endoscopic Approach
